timestamp,dataset,task,algorithm,target_col,split,n_train,n_test,accuracy,precision,recall,f1,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,mae,rmse,r2,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,silhouette_score,cv_silhouette_mean,cv_silhouette_std,n_clusters,notes
2026-08-01T16:26:57.939573,higher_education_predictors_of_student_retention,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1515,0.1385,0.0065,3,
2026-08-01T16:27:39.187915,pgcb_hourly_generation,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2802,0.2802,0.0001,2,
2026-08-01T16:27:48.024823,pgcb_hourly_generation,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1667,,,4,
2026-08-01T16:28:20.277416,pgcb_hourly_generation,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.3524,,,20,outliers=6837
2026-08-01T16:29:18.084447,pgcb_hourly_generation,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1174,0.1237,0.0279,3,
2026-08-01T16:31:24.131235,har70plus,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.4173,0.4173,0.0,2,
2026-08-01T16:31:31.904666,har70plus,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.2132,,,7,
2026-08-01T16:31:46.761775,har70plus,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,0.1603,,,16,outliers=14301;sampled=50000/2259597
2026-08-01T16:32:27.224301,har70plus,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.3586,0.1768,0.0017,3,fit_sampled=100000/2259597
2026-08-01T16:32:33.203503,dow_jones_index,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.3289,0.3277,0.0019,2,
2026-08-01T16:32:38.132385,dow_jones_index,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.2427,,,4,
2026-08-01T16:32:42.466498,dow_jones_index,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.0078,,,6,outliers=333
2026-08-01T16:32:45.589431,dow_jones_index,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.2193,0.2278,0.0036,3,
2026-08-01T16:33:00.428413,realwaste,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2508,0.2505,0.0015,2,
2026-08-01T16:33:06.909998,realwaste,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1515,,,9,
2026-08-01T16:33:11.816802,realwaste,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,,,,0,outliers=4752
2026-08-01T16:33:31.277112,realwaste,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1183,0.1203,0.0011,3,
2026-08-01T16:33:37.793459,heartbeat_sounds,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.5073,0.4963,0.0134,2,
2026-08-01T16:33:43.596009,heartbeat_sounds,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.2791,,,4,
2026-08-01T16:33:48.497674,heartbeat_sounds,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,-0.2565,,,7,outliers=349
2026-08-01T16:33:53.096745,heartbeat_sounds,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.4564,0.4225,0.046,3,
2026-08-01T16:41:03.104433,healthcare_dataset_stroke,clustering,kmeans,,,,,,,,,,,,,,,,,,,,,,0.2265,0.1873,0.0135,5,
2026-08-01T16:41:10.962184,healthcare_dataset_stroke,clustering,hierarchical,,,,,,,,,,,,,,,,,,,,,,0.1842,,,3,
2026-08-01T16:41:24.311788,healthcare_dataset_stroke,clustering,dbscan,,,,,,,,,,,,,,,,,,,,,,0.4164,,,77,outliers=351
2026-08-01T16:41:38.170673,healthcare_dataset_stroke,clustering,gaussian_mixture,,,,,,,,,,,,,,,,,,,,,,0.1837,0.168,0.0105,3,
